CAE;Кол-во (шт.) (Склад Москва КрС);Розница (руб.) (Склад Москва КрС);Цена (руб.) (Склад Москва КрС);
"517558";10;14160;11144;
"986413";1;13080;10294;
"162451";более 40;16770;13198;
"185025";14;12800;10073;
"394113";11;11510;9060;
"567718";более 40;15490;12196;
"926231";1;10730;8449;
"307801";1;12270;9970;
"0358973";3;24340;19163;
"3151013";более 40;3730;3130;
"3151009";более 40;3510;2943;
"3151017";более 40;5330;4469;
"3251011";1;9740;8176;
"3151014";1;4200;3528;
"3251004";более 40;6950;5831;
"3151011";31;4870;4090;
"3151015";более 40;4280;3590;
"3151006";1;3560;2982;
"3151016";23;4760;3993;
"3151005";более 40;3400;2851;
"3151003";более 40;3390;2844;
"3151002";более 40;3130;2625;
"3251005";32;7190;6039;
"307787";1;12110;9844;
"3151007";более 40;5540;4653;
"3251010";36;7790;6537;
"3251007";более 40;5820;4881;
"3250023";более 40;7790;6537;
"3150097";более 40;7270;6101;
"3150101";3;8380;7037;
"3150088";32;7850;6587;
"3151030";1;9310;7820;
"3151029";более 40;11070;9296;
"3150102";33;10140;8516;
"3150087";1;8400;7050;
"3250018";более 40;5570;4672;
"3150094";8;6480;5438;
"3250019";более 40;5820;4881;
"3151024";более 40;6450;5413;
"3150096";32;7910;6638;
"3150098";26;8270;6943;
"3250021";более 40;6760;5674;
"3151018";более 40;5370;4508;
"3151022";более 40;6620;5559;
"3150083";более 40;5030;4224;
"3151020";более 40;7940;6663;
"3150084";22;5030;4224;
"3151019";39;5380;4516;
"3250024";4;9540;8012;
"3151028";23;11660;9790;
"3150099";более 40;7460;6266;
"3150090";31;6690;5617;
"3151026";3;6390;5366;
"3150091";24;6590;5531;
"3151023";более 40;6260;5253;
"3150093";18;7440;6245;
"474914";3;10880;8843;
"162205";1;4230;3431;
"179490";1;10360;8415;
"PSR1281303";1;33660;26499;
"1009816";1;13810;11220;
"2001870";1;7680;6244;
"1012627";1;12150;9871;
"1011563";24;9530;7740;
"1013029";1;7130;5793;
"1012304";3;14080;11444;
"2000377";4;9510;7730;
"1015872";8;20030;16280;
"1007448";2;5270;4280;
"1015090";1;7420;6032;
"537840";1;19830;15610;
"532419";3;19420;15284;
"540810";1;19700;15507;
"T429925";более 40;9110;7401;
"T429917";31;5510;4479;
"T429916";1;5450;4423;
"T429926";более 40;8610;6997;
"T429913";более 40;5140;4174;
"T429907";3;4760;3869;
"T429911";21;5410;4395;
"T429903";2;4740;3851;
"T429924";2;7910;6425;
"T429914";21;5930;4817;
"T429915";более 40;5180;4207;
"T429919";37;7390;6003;
"1590165";1;12920;10166;
"0353911";3;15160;12321;
"0354381";18;24330;19775;
"R4999";4;27290;21486;
"R5535";3;14350;11297;
"R5612";5;18030;14195;
"2171473";24;9640;7835;
"F7086";4;12830;10095;
"0354784";3;20700;16822;
"2175853";1;8550;6949;
"2171433";38;10200;8289;
"0354374";9;16710;13582;
"2171453";20;13000;10561;
"R5018";2;14470;11391;
"F7323";2;35300;27793;
"R7363";2;29420;23163;
"R7362";2;17570;13833;
"R5701";4;23120;18203;
"R4995";1;18610;14651;
"919695";1;25860;20359;
"964349";4;45230;35610;
"626763";2;16530;13009;
"600585";1;33200;26134;
"815490";4;33430;26318;
"632133";1;24430;15962;
"544381";2;29880;23521;
"2479600";более 40;26960;21918;
"2351100";2;20500;16665;
"2352600";6;21710;13389;
"2350400";4;13560;9711;
"2573000";2;14920;12126;
"348624";4;19860;15635;
"2351300";4;15320;12454;
"2393600";10;23240;18894;
"2573400";9;19540;13243;
"2461100";8;25740;20925;
"2350600";1;15220;12370;
"2352200";3;19380;15756;
"2424700";4;27390;22267;
"2351500";2;10840;8810;
"2462100";8;19720;16029;
"2428100";8;25660;17481;
"2564000";8;30650;24918;
"2351900";1;17990;12100;
"2573300";4;16400;13331;
"1590139";более 40;9310;7328;
"T428141";3;11020;8957;
"564481";4;37890;29829;
"2420800";более 40;6390;5025;
"2346000";4;9440;7427;
"2331500";2;7370;5796;
"2813100";более 40;6670;5250;
"2662300";4;8100;6371;
"2329500";более 40;6770;5327;
"2325800";более 40;6580;5179;
"2328500";8;6830;5375;
"2327800";более 40;6970;5482;
"2326200";более 40;7900;6217;
"1015385";12;23510;17956;
"1015556";1;37490;28634;
"T429597";более 40;8550;6950;
"T429605";более 40;11700;9511;
"T429600";более 40;9590;7795;
"T429604";2;9850;8001;
"T429608";20;11880;9656;
"T429611";более 40;7270;5909;
"T429607";более 40;10900;8854;
"T429596";более 40;9120;7410;
"T429601";2;9570;7776;
"R1657";6;26610;21634;
"T429610";37;10720;8709;
"T429598";более 40;8970;7288;
"T429603";32;10980;8925;
"T429606";34;12080;9816;
"R1656";10;21010;17080;
"2145923";1;10650;8651;
"R1676";2;19600;15934;
"R1659";4;15330;12468;
"R1661";более 40;25340;20604;
"2145343";более 40;7280;5917;
"2108223";1;17380;14126;
"2160113";1;8610;6998;
"2160173";1;9650;7842;
"2166443";более 40;9700;7885;
"2160073";1;5920;4812;
"2166663";более 40;9150;7432;
"2166463";1;8910;7236;
"2143513";1;6880;5587;
"2160133";1;7450;6055;
"2160193";более 40;13010;10574;
"2166503";1;10000;8124;
"2166483";1;9100;7392;
"2166563";более 40;6680;5426;
"2166403";1;9960;8094;
"2167023";2;6040;4905;
"2166603";более 40;7150;5809;
"2166743";40;6300;5115;
"2268533";более 40;6190;5029;
"R0217";4;7180;5839;
"R0227";более 40;10920;8878;
"R0235";3;9630;7828;
"R0226";36;8170;6645;
"R0241";4;10500;8541;
"R0240";4;10770;8754;
"R0236";более 40;11230;9132;
"R0319";1;14370;11682;
"0347167";1;16580;13474;
"2556500";более 40;8320;6757;
"2557400";более 40;10870;8833;
"2555500";более 40;9660;7851;
"4059800";более 40;8210;6673;
"3763100";более 40;11940;9701;
"2555700";более 40;9340;7586;
"3288800";более 40;5310;4315;
"3763300";32;11780;9577;
"2555300";более 40;9770;7936;
"2556000";14;4860;3948;
"3763200";более 40;8380;6808;
"3288600";более 40;6370;5172;
"2555200";2;8390;6814;
"3994100";более 40;9140;7428;
"3383600";более 40;6530;5308;
"2555600";более 40;12660;10288;
"2554700";27;7160;5821;
"2555000";более 40;7280;5911;
"2558700";более 40;14450;11743;
"2556200";6;14240;9746;
"2556400";более 40;14750;11991;
"2554900";более 40;5720;4648;
"0354789";2;28890;23487;
"0347071";1;20880;16968;
"0354232";1;22560;18334;
"1015301";4;31200;24562;
"1015290";2;25110;19176;
"1015375";5;32720;24989;
"1015372";2;27270;21465;
"1015690";12;13420;10244;
"916357";7;22360;17605;
"990833";2;35720;28121;
"817080";16;24390;19201;
"206686";2;33460;26342;
"519877";20;6540;5314;
"510556";более 40;7410;6021;
"973589";более 40;10170;8262;
"093802";более 40;8860;7198;
"154456";15;10590;8609;
"103787";4;7850;6376;
"168679";18;10560;8584;
"565870";4;28140;22877;
"539097";3;18190;14316;
"558096";5;16900;13305;
"528726";1;18170;14306;
"558169";2;18410;14493;
"559545";1;16350;13289;
"531456";2;17580;13840;
"0353077";2;12580;10223;
"0353203";2;16690;13562;
"0353208";4;13390;10884;
"0353258";16;21270;17290;
"0353465";2;19690;16004;
"0353943";2;23700;19268;
"0353218";2;23420;19040;
"0353473";2;26840;21815;
"0353335";1;18190;14788;
"0353168";2;17680;14369;
"0353005";2;19900;16175;
"0354555";4;21080;17132;
"0354664";1;14860;12074;
"0354132";1;11000;8937;
"0354061";1;14910;12121;
"0354039";2;25760;20940;
"0358688";5;18180;14311;
"0356178";8;15790;12430;
"0350738";26;15790;12430;
"0351940";38;14040;11052;
"0356302";11;20040;15777;
"0356177";31;14040;11052;
"0350995";13;12640;9950;
"0350739";2;12460;9806;
"0350723";6;14920;11742;
"0350737";более 40;14040;11052;
"0356307";4;35370;27847;
"0350994";3;17330;13644;
"0356922";более 40;13210;10400;
"1707600";2;24520;19934;
"1600300";1;11460;9311;
"2075500";1;13440;10920;
"2281900";15;23790;19334;
"1817700";1;27920;22696;
"1850000";1;21620;17571;
"2391000";1;21690;17627;
"1864800";2;19570;15907;
"1864700";1;30620;24894;
"1864600";5;22050;14940;
"1863100";2;25480;17056;
"3285400";1;34910;28381;
"1863200";1;26640;21651;
"1865500";1;27480;22335;
"1951900";1;23970;10513;
"2543200";более 40;13820;10880;
"2550100";более 40;25330;19938;
"2496100";1;18570;14617;
"2373000";более 40;16070;12653;
"2428700";более 40;21360;16812;
"2130800";3;12020;9462;
"LYR0665303";6;15130;12293;
"F6003";2;23550;18541;
"R6113";1;22430;17661;
"R6105";1;21950;17276;
"R6109";21;16300;12827;
"F3980";4;34420;27984;
"F4837";более 40;11270;9168;
"F5398";1;17130;13487;
"F5205";1;15000;12187;
"F3680";1;11820;9302;
"0354154";2;24420;19226;
"0357415";1;35520;27967;
"0358963";1;14120;11117;
"T429756";1;18330;14897;
"T428618";1;15410;12526;
"PSR1303403";6;29020;22845;
"PSR1283103";4;30180;23758;
"T428606";1;12290;9986;
"PSR1315003";2;18180;14309;
"T428781";1;17360;14109;
"898290";более 40;5960;4688;
"400528";4;17340;14091;
"PSR1315203";8;21450;16884;
"PSR1386503";более 40;18340;14437;
"PSR1086103";8;13660;10240;
"PSR1303703";1;46420;36550;
"PSR1386603";12;20890;16448;
"PXR0398803";35;7710;6266;
"PXR0501003";9;11110;9025;
"PXR0544903";более 40;8040;6532;
"PXR0545303";14;8940;7262;
"PXR0386403";более 40;5790;4704;
"PXR0544703";7;9710;7892;
"PXR0545203";25;9540;7755;
"PXR0378803";20;5330;4333;
"PXR0452503";более 40;6320;5133;
"PXR0545003";более 40;8780;7132;
"PXR0500703";более 40;11780;9575;
"PXR0500803";более 40;11650;9466;
"PXR0500603";12;12940;10519;
"PXR0500903";24;12160;9883;
"0356750";2;31070;24462;
"0354878";1;29080;22890;
"0354894";14;17350;13655;
"0357285";1;28510;22448;
"0357916";8;19340;15222;
"571417";1;9220;7494;
"525823";2;27050;21295;
"518641";1;19240;15640;
"519600";1;24740;20114;
"526757";1;11980;9433;
"515150";6;37730;29705;
"529813";1;28210;22205;
"549590";3;28980;15347;
"548203";1;35480;27937;
"518591";4;15460;12172;
"523023";2;25010;19687;
"285470";1;16530;13015;
"789755";4;21480;17460;
"973952";1;7430;6036;
"136141";1;9010;7324;
"054748";более 40;17990;14626;
"994210";2;21310;17321;
"003314";12;18800;15283;
"302399";более 40;20220;16433;
"085226";3;17530;14249;
"923115";3;16330;13271;
"588032";16;17390;14133;
"036319";10;20020;16269;
"048713";3;15160;12325;
"979851";17;18400;14954;
"003309";более 40;17390;14133;
"202259";12;14170;11150;
"630079";2;18950;14919;
"561754";более 40;16590;13059;
"050078";2;19320;15209;
"423863";4;24180;19037;
"709354";2;15830;12464;
"412812";2;20440;16089;
"380613";2;14380;11322;
"534716";2;14240;11208;
"739896";более 40;12270;9656;
"865157";1;22150;16494;
"015289";2;14020;11032;
"556179";21;12960;10204;
"847587";20;16890;13297;
"152212";3;16690;13137;
"453682";8;18080;14230;
"891451";4;21460;16894;
"095304";20;16530;13009;
"908843";1;37750;29718;
"546621";1;18570;14617;
"813765";1;35150;27674;
"054029";4;43650;34367;
"495268";2;25640;20184;
"172795";2;35300;27792;
"796332";1;33800;26607;
"966752";2;49560;39021;
"615573";1;21460;16892;
"940640";1;42080;33132;
"998870";4;26200;17486;
"849181";4;44130;34744;
"453046";20;9590;7790;
"506292";38;10230;8315;
"759966";26;10040;8157;
"1949500";7;25460;20045;
"1791700";1;36790;28967;
"1941800";9;35850;28225;
"2540200";5;42860;33748;
"1996400";2;27780;21872;
"2067700";4;43340;34121;
"2563300";3;27770;21860;
"1767300";4;30470;23990;
"1767200";22;32080;25259;
"2315600";2;30770;24221;
"2625800";1;24480;19274;
"1787200";2;38310;30159;
"1804000";3;32790;25817;
"2034700";2;39170;30841;
"2337000";6;17440;13727;
"2667900";32;40570;31944;
"2094700";1;30430;23960;
"1826700";1;57020;44894;
"1929000";2;34430;27110;
"2540400";1;15850;12037;
"1609700";1;37300;29364;
"K8509";12;6590;5182;
"F5065";3;8470;6662;
"F1290";14;6590;5182;
"F1973";1;42350;33344;
"F2632";1;12120;9540;
"F1977";1;38150;30032;
"F0383";1;35030;27581;
"E3856";1;14070;11071;
"F0389";2;25820;20325;
"F2633";10;18020;14182;
"2151001";более 40;4410;3698;
"2151005";11;3440;2887;
"2151002";более 40;2990;2506;
"2210007";более 40;4460;3738;
"2151003";более 40;3130;2625;
"1151006";1;2980;2500;
"1151005";более 40;2710;2272;
"1151008";более 40;4480;3762;
"1151001";более 40;3120;2621;
"1549135";более 40;9580;7536;
"528343";более 40;6040;4749;
"1549252";более 40;10550;8300;
"1549341";1;17490;13768;
"583943";1;15990;12588;
"609491";28;18970;15420;
"203172";7;16990;13810;
"0353478";1;11300;9181;
"310416";4;18110;14717;
"097149";1;11880;9653;
"393712";1;11380;9248;
"051896";4;19550;15892;
"K9316";1;14800;11651;
"378668";5;13050;10270;
"288543";1;37330;29393;
"287124";16;26750;21059;
"187346";1;13410;10557;
"733441";13;14010;11024;
"325838";1;11850;9330;
"743304";1;19480;15336;
"T429297";1;13230;10417;
"811023";2;13000;10233;
"960565";более 40;16840;13254;
"123949";6;12970;10209;
"074778";1;21500;17476;
"844988";3;27500;22354;
"609644";4;22170;18020;
"326722";4;21970;17860;
"284526";1;26640;21654;
"482744";3;24520;17676;
"594626";1;24600;19993;
"T443682";1;10210;8295;
"547186m";2;19380;15748;
"824992";1;9680;7863;
"630705";1;12390;10072;
"PXR0902203";12;31160;25332;
"PXR0800903";1;31160;25332;
"R6155";6;30500;24014;
"E4716";1;9520;7739;
"F2057";1;20350;16020;
"E4705";20;12890;10480;
"E4713";1;9880;8035;
"2153700";2;19070;15009;
"2374400";10;22100;17304;
"2040200";8;13450;10583;
"2484800";более 40;12240;9634;
"2332200";14;12100;9527;
"2040900";4;18540;14593;
"2028000";более 40;19590;15424;
"1948700";более 40;9220;7255;
"2302500";13;19590;15424;
"2328900";22;7430;5849;
"F7767";2;31930;25141;
"F7766";1;22130;17425;
"F7495";2;18300;14407;
"12685";1;11710;9219;
"13142";2;13470;10605;
"11716";1;11770;9261;
"13886";4;10130;7970;
"13888";2;9730;7655;
"3002061";более 40;51980;49500;
"3002384";35;49480;47120;
"3002060";5;50380;47975;
"T429500";7;6290;5107;
"T429515";1;5460;4436;
"T429513";1;5400;4383;
"T429767";8;10440;8484;
"TS32051";1;11650;9469;
"TS32053";5;13920;11316;
"0344630";2;14850;12067;
"0344851";1;13270;10784;
"2251002";более 40;6620;5558;
"PSR0L02203";8;13260;10438;
"PSR1459303";4;18960;14925;
"PSR0L01403";4;14090;11088;
"PSR0L04403";6;14320;11268;
"PSR0L02303";2;12970;10208;
"PSR0L01003";12;10130;7970;
"PSR0L03403";1;15090;11875;
"PSR0L01303";2;15850;12474;
"PSR0L04103";4;16360;12877;
"12722";6;12330;9702;
"12350";10;13090;10301;
"12592";1;16390;12905;
"13524";9;20150;15866;
"13514";2;16250;12789;
"12302";2;12110;9534;
"595258";18;31930;25136;
"12303";2;8340;6563;
"346838";11;22910;18036;
"13418";2;11020;8673;
"863357";10;26000;20466;
"836366";20;29820;23476;
"12312";2;13030;10259;
"12315";2;14940;11760;
"12723";1;16090;12663;
"12719";1;13140;10343;
"546862";36;26330;20729;
"710345";более 40;29050;22873;
"935228";более 40;26000;20466;
"T429579";1;8330;6552;
"865383";более 40;29540;23257;
"124215";более 40;27220;21429;
"880470";24;23150;18225;
"317675";10;18510;14571;
"875678";32;22380;17620;
"907243";34;24610;19377;
"T429582";5;7690;6048;
"893522";15;27940;21996;
"749865";10;21610;17009;
"129451";1;25420;20010;
"221263";6;27130;21361;
"T429584";22;11240;8844;
"186714";7;16070;12649;
"T429581";7;10950;8616;
"620669";более 40;25930;20413;
"545416";7;27520;21669;
"2180000";2;34720;28223;
"2179900";5;39440;32058;
"2272900";17;17140;13928;
"2272700";5;23730;9238;
"2285300";16;41160;33457;
"2341600";16;19350;11670;
"2274100";2;33760;27445;
"2273400";1;30670;24929;
"2550000";25;46450;30949;
"2506700";4;42040;28804;
"2341400";2;26270;21354;
"2308400";3;14070;11434;
"530818";12;18120;14726;
"2288600";11;31930;25956;
"2297400";1;30850;25076;
"2429200";12;46480;33940;
"2775600";40;42230;34326;
"2341900";1;15950;12960;
"2729800";1;62860;40029;
"526055";2;19620;15948;
"756612";1;34090;27712;
"692786";4;19830;16120;
"666690";2;43220;35136;
"701635";10;26690;21698;
"450490";2;23120;18790;
"412000";2;45990;37388;
"929342";1;32400;26341;
"859045";2;29430;23925;
"813100";2;21360;17363;
"164755";23;22240;18078;
"468752";1;26490;21534;
"172072";28;22030;17905;
"752323";7;24750;20118;
"300481";4;26550;21582;
"006177";1;30650;24918;
"386758";7;19910;16181;
"821574";2;26370;21436;
"1010662";4;7580;6161;
"R0508";1;13460;10592;
"710920";6;12350;9723;
"R0510";4;34250;26966;
"792796";3;26010;20477;
"R0502";1;17530;13802;
"1019928";4;6680;5430;
"1019950";19;12880;10470;
"1019947";4;11570;9400;
"1019924";22;6350;5160;
"1020469";8;7800;6339;
"1019923";3;5720;4650;
"1015876";4;8140;6610;
"1019958";более 40;16620;13510;
"1019962";4;18820;15300;
"1019943";26;9350;7600;
"1019952";8;12400;10080;
"1019929";5;8050;6540;
"1019951";22;13950;11340;
"1019945";11;10840;8810;
"1019946";7;12440;10110;
"1019937";2;9230;7500;
"1019953";18;13200;10730;
"1019949";более 40;12870;10460;
"1019936";9;8340;6780;
"1019932";13;8490;6900;
"1019956";8;16430;13350;
"1019944";20;12360;10044;
"1019955";32;14270;11600;
"1020115";более 40;13360;10860;
"1019964";8;19380;15750;
"1019960";4;16670;13550;
"120722";4;12230;9940;
"1019963";7;20130;16360;
"1019965";14;24150;19630;
"612278";4;7640;6209;
"1019966";8;19490;15840;
"209546";4;11460;9309;
"734147";3;5770;4689;
"1019961";4;17770;14440;
"733694";1;13310;10818;
"382235";8;5520;4481;
"0348157";10;5560;4520;
"0348159";2;7270;5909;
"0348155";18;5450;4423;
"TTS150520";2;28960;27580;
"530858";19;15030;12217;
"580807";более 40;12650;10284;
"0348166";34;9110;7402;
"0348160";более 40;7870;6398;
"0348169";12;10340;8401;
"12806";1;14500;11788;
"12808";2;14670;11923;
"12754";2;11500;9342;
"12766";3;13080;10632;
"15457";8;25700;20234;
"10674i";3;18350;14448;
"14720";1;20330;16002;
"13608";2;17350;13661;
"12309";20;17140;13493;
"13074";1;4850;3935;
"13077";14;8120;6600;
"13061";1;6180;5022;
"PSR1374603";более 40;34820;27411;
"TW00256";2;19600;15928;
"1120009";38;5990;5025;
"099436";1;22250;18084;
"211578";1;29420;23917;
"503913";1;38220;31068;
"530458";2;13040;10597;
"580803";более 40;12190;9908;
"530455";9;9910;8055;
"547592";24;14470;11763;
"530447";40;6610;5366;
"530460";4;12570;10214;
"533127";более 40;18570;15094;
"530461";1;15050;12232;
"533106";12;22630;17420;
"533098";32;21250;15824;
"530780";2;13200;10727;
"530782";2;16680;13554;
"533728";1;20060;15440;
"533083";2;12190;9909;
"527932";2;8350;6782;
"533088";1;18560;15085;
"530776";6;10130;8234;
"F5202";1;16860;13705;
"F2684";1;9500;7721;
"F2733";20;18750;15243;
"0455010";4;9530;7744;
"531295";2;15600;12677;
"577397";18;16780;13635;
"531848";4;25860;21019;
"3150019";более 40;5550;4662;
"3150028";8;11660;9790;
"3150024";более 40;6710;5632;
"3150025";более 40;6400;5370;
"3110017";1;3680;3083;
"3150013";более 40;3560;2990;
"3151034";2;4950;4157;
"3150007";20;5540;4653;
"3150009";более 40;3670;3081;
"3150017";более 40;5330;4473;
"3150027";34;9450;7935;
"3150022";более 40;6620;5559;
"3150008";более 40;4060;3405;
"3150016";32;4940;4149;
"3150029";32;9090;7632;
"3150011";3;4770;4001;
"3150015";более 40;4680;3925;
"3150018";14;5370;4508;
"3151036";25;8570;7195;
"3151035";более 40;6540;5491;
"3151033";20;5190;4355;
"3151040";более 40;6790;5703;
"3151042";40;7670;6437;
"3151039";более 40;6900;5791;
"528401";6;10120;7965;
"528386";2;12780;10060;
