CAE;Кол-во (шт.) (Склад ОХ г. Домодедово ВИСТ-Авто);Розница (руб.) (Склад ОХ г. Домодедово ВИСТ-Авто);Цена (руб.) (Склад ОХ г. Домодедово ВИСТ-Авто);
"3151013";4;3730;3130;
"3151009";4;3510;2943;
"3151015";4;4280;3590;
"3150098";4;8270;6943;
"R0217";4;7180;5839;
"2555700";4;9340;7586;
"3288800";4;5310;4315;
"2555300";4;9770;7936;
"3994100";4;9140;7428;
"330202";4;9270;7530;
"3150009";4;3670;3081;
"3150015";4;4680;3925;
"3151040";4;6790;5703;
"3151043";4;6680;5607;
"0348178";4;7970;6479;
"2349500";4;9750;7923;
"2466700";4;17690;14382;
"2358300";4;12940;10513;
"2358000";4;7870;6396;
"2753700";4;14190;11529;
"PXR01056S3";4;6830;5546;
"F8404";4;10310;8384;
"2801900";4;12850;10446;
"R3040";4;10950;8903;
"2802100";4;10000;8122;
"3080700";4;17430;14168;
"PXR01143S3";4;18450;14999;
"PXR01130S3";4;17420;14160;
"431141";4;11070;8999;
"1023601";4;9670;7860;
"774942";4;8440;6857;
"990827";4;7450;6053;
"3288700";4;5740;4665;
"BR470727";4;12000;9754;
"046140";4;21960;17849;
"811774";4;9420;7656;
"3763400";4;11400;9267;
"3291800";4;10580;8596;
"3950000";4;12620;10254;
"3849800";4;7050;5731;
